Company_1,Ticker_1,Company_2,Ticker_2,Relationship_Type,Direction,Description
NVIDIA,NVDA,Microsoft,MSFT,Supplier,NVDA → MSFT,NVIDIA supplies GPUs for Azure AI and cloud services
NVIDIA,NVDA,Google,GOOGL,Supplier,NVDA → GOOGL,NVIDIA supplies GPUs for Google Cloud and AI research
NVIDIA,NVDA,Amazon,AMZN,Supplier,NVDA → AMZN,NVIDIA supplies GPUs for AWS cloud infrastructure
NVIDIA,NVDA,Meta,META,Supplier,NVDA → META,NVIDIA supplies GPUs for Meta's AI and metaverse projects
NVIDIA,NVDA,Tesla,TSLA,Supplier,NVDA → TSLA,NVIDIA supplies chips for Tesla's AI training (Dojo alternative)
NVIDIA,NVDA,Taiwan Semiconductor,TSM,Customer,TSM → NVDA,TSMC manufactures NVIDIA's GPU chips
NVIDIA,NVDA,OpenAI,PRIVATE,Supplier,NVDA → OpenAI,NVIDIA GPUs power ChatGPT and GPT model training
NVIDIA,NVDA,Oracle,ORCL,Supplier,NVDA → ORCL,NVIDIA supplies GPUs for Oracle Cloud Infrastructure
NVIDIA,NVDA,Palantir,PLTR,Partner,NVDA ↔ PLTR,Partnership for AI-powered defense and enterprise solutions
NVIDIA,NVDA,ServiceNow,NOW,Partner,NVDA ↔ NOW,Partnership for AI-powered enterprise automation
NVIDIA,NVDA,Snowflake,SNOW,Partner,NVDA ↔ SNOW,Partnership for GPU-accelerated data analytics
NVIDIA,NVDA,Databricks,PRIVATE,Partner,NVDA ↔ Databricks,Partnership for AI/ML workloads
NVIDIA,NVDA,Dell,DELL,Partner,NVDA ↔ DELL,Dell sells NVIDIA GPU servers
NVIDIA,NVDA,Super Micro,SMCI,Partner,NVDA ↔ SMCI,Super Micro builds NVIDIA AI server systems
NVIDIA,NVDA,ARM Holdings,ARM,Licensing,ARM → NVDA,NVIDIA licenses ARM architecture for some chips
Microsoft,MSFT,OpenAI,PRIVATE,Investor/Partner,MSFT → OpenAI,Microsoft invested $13B+ in OpenAI; exclusive cloud partner
Microsoft,MSFT,Activision,ATVI,Acquisition,MSFT → ATVI,Microsoft acquired Activision Blizzard for $69B
Microsoft,MSFT,LinkedIn,PRIVATE,Subsidiary,MSFT owns LinkedIn,Microsoft owns LinkedIn (acquired 2016)
Microsoft,MSFT,GitHub,PRIVATE,Subsidiary,MSFT owns GitHub,Microsoft owns GitHub (acquired 2018)
Microsoft,MSFT,Salesforce,CRM,Competitor/Partner,MSFT ↔ CRM,Compete in CRM; integrate products
Microsoft,MSFT,SAP,SAP,Partner,MSFT ↔ SAP,Cloud partnership for enterprise software
Microsoft,MSFT,Adobe,ADBE,Partner,MSFT ↔ ADBE,Integration between Microsoft 365 and Adobe products
Apple,AAPL,Taiwan Semiconductor,TSM,Customer,TSM → AAPL,TSMC manufactures Apple's M-series and A-series chips
Apple,AAPL,Qualcomm,QCOM,Supplier,QCOM → AAPL,Qualcomm supplies 5G modems for iPhones
Apple,AAPL,Broadcom,AVGO,Supplier,AVGO → AAPL,Broadcom supplies wireless chips for Apple devices
Apple,AAPL,Intel,INTC,Former Supplier,INTC → AAPL (ended),Apple transitioned from Intel to own M-series chips
Apple,AAPL,Samsung,SSNLF,Supplier/Competitor,Mixed,Samsung supplies displays; competes in smartphones
Google,GOOGL,Taiwan Semiconductor,TSM,Customer,TSM → GOOGL,TSMC manufactures Google's TPU AI chips
Google,GOOGL,Anthropic,PRIVATE,Investor,GOOGL → Anthropic,Google invested $2B in Anthropic (Claude AI)
Google,GOOGL,Salesforce,CRM,Competitor/Partner,GOOGL ↔ CRM,Cloud integration partnerships
Amazon,AMZN,Intel,INTC,Supplier,INTC → AMZN,Intel supplies Xeon processors for AWS
Amazon,AMZN,AMD,AMD,Supplier,AMD → AMZN,AMD supplies EPYC processors for AWS
Amazon,AMZN,Anthropic,PRIVATE,Investor,AMZN → Anthropic,Amazon invested $4B in Anthropic
Amazon,AMZN,Rivian,RIVN,Investor/Customer,AMZN → RIVN,Amazon invested in Rivian; orders 100K delivery vans
Meta,META,Qualcomm,QCOM,Partner,META ↔ QCOM,Partnership for VR/AR chip development
Meta,META,Ray-Ban/Luxottica,PRIVATE,Partner,META ↔ Luxottica,Partnership for Ray-Ban Meta smart glasses
Tesla,TSLA,Panasonic,PCRFY,Partner,TSLA ↔ Panasonic,Joint venture for battery production
Tesla,TSLA,Samsung,SSNLF,Supplier,SSNLF → TSLA,Samsung supplies chips for Tesla vehicles
Tesla,TSLA,Taiwan Semiconductor,TSM,Customer,TSM → TSLA,TSMC manufactures Tesla's FSD chips
AMD,AMD,Taiwan Semiconductor,TSM,Customer,TSM → AMD,TSMC manufactures AMD's CPU and GPU chips
AMD,AMD,Microsoft,MSFT,Supplier,AMD → MSFT,AMD supplies CPUs for Xbox consoles
AMD,AMD,Sony,SONY,Supplier,AMD → SONY,AMD supplies chips for PlayStation consoles
AMD,AMD,Meta,META,Supplier,AMD → META,AMD supplies chips for Meta's data centers
Intel,INTC,Dell,DELL,Supplier,INTC → DELL,Intel supplies processors for Dell PCs/servers
Intel,INTC,HP,HPQ,Supplier,INTC → HPQ,Intel supplies processors for HP computers
Intel,INTC,Lenovo,LNVGY,Supplier,INTC → LNVGY,Intel supplies processors for Lenovo
Broadcom,AVGO,Cisco,CSCO,Supplier,AVGO → CSCO,Broadcom supplies networking chips to Cisco
Qualcomm,QCOM,Samsung,SSNLF,Supplier,QCOM → SSNLF,Qualcomm supplies Snapdragon chips for Samsung phones
Qualcomm,QCOM,Xiaomi,PRIVATE,Supplier,QCOM → Xiaomi,Qualcomm supplies chips for Xiaomi phones
Salesforce,CRM,Slack,PRIVATE,Subsidiary,CRM owns Slack,Salesforce acquired Slack for $27.7B (2021)
Salesforce,CRM,Tableau,PRIVATE,Subsidiary,CRM owns Tableau,Salesforce acquired Tableau for $15.7B (2019)
Adobe,ADBE,Figma,PRIVATE,Attempted Acquisition,ADBE → Figma (failed),Adobe attempted $20B acquisition; deal terminated
Netflix,NFLX,Amazon,AMZN,Customer,AMZN → NFLX,Netflix runs on AWS cloud infrastructure
Uber,UBER,Google,GOOGL,Customer/Partner,GOOGL → UBER,Uber uses Google Maps; Google invested in Uber
Uber,UBER,Amazon,AMZN,Customer,AMZN → UBER,Uber runs on AWS cloud
Airbnb,ABNB,Amazon,AMZN,Customer,AMZN → ABNB,Airbnb runs on AWS cloud
Snowflake,SNOW,Amazon,AMZN,Partner/Customer,AMZN ↔ SNOW,Snowflake runs on AWS; competes with Redshift
Snowflake,SNOW,Microsoft,MSFT,Partner/Customer,MSFT ↔ SNOW,Snowflake runs on Azure; competes with Synapse
Palantir,PLTR,Amazon,AMZN,Customer,AMZN → PLTR,Palantir runs on AWS
Palantir,PLTR,Microsoft,MSFT,Customer,MSFT → PLTR,Palantir runs on Azure
CrowdStrike,CRWD,Amazon,AMZN,Partner,AMZN ↔ CRWD,CrowdStrike security for AWS customers
Palo Alto Networks,PANW,Google,GOOGL,Partner,GOOGL ↔ PANW,Security partnership for Google Cloud
ServiceNow,NOW,Microsoft,MSFT,Partner,MSFT ↔ NOW,Integration with Microsoft Teams and Azure
Shopify,SHOP,Google,GOOGL,Partner,GOOGL ↔ SHOP,Google Cloud partnership; Shopping integration
Shopify,SHOP,Meta,META,Partner,META ↔ SHOP,Facebook/Instagram shopping integration
ARM Holdings,ARM,Apple,AAPL,Licensing,ARM → AAPL,Apple licenses ARM architecture for M-series chips
ARM Holdings,ARM,Qualcomm,QCOM,Licensing,ARM → QCOM,Qualcomm licenses ARM for Snapdragon chips
ARM Holdings,ARM,Samsung,SSNLF,Licensing,ARM → SSNLF,Samsung licenses ARM for Exynos chips
ASML,ASML,Taiwan Semiconductor,TSM,Supplier,ASML → TSM,ASML supplies EUV lithography machines to TSMC
