Company_1,Ticker_1,Company_2,Ticker_2,Relationship_Type,Direction,Description
NVIDIA,NVDA,Microsoft,MSFT,Supplier,NVDA → MSFT,NVIDIA supplies GPUs for Azure AI and cloud services
NVIDIA,NVDA,Google,GOOGL,Supplier,NVDA → GOOGL,NVIDIA supplies GPUs for Google Cloud and AI research
NVIDIA,NVDA,Amazon,AMZN,Supplier,NVDA → AMZN,NVIDIA supplies GPUs for AWS cloud infrastructure
NVIDIA,NVDA,Meta,META,Supplier,NVDA → META,NVIDIA supplies GPUs for Meta AI and metaverse projects
NVIDIA,NVDA,Tesla,TSLA,Supplier,NVDA → TSLA,NVIDIA supplies chips for Tesla AI training
NVIDIA,NVDA,Taiwan Semiconductor,TSM,Customer,TSM → NVDA,TSMC manufactures NVIDIA GPU chips
NVIDIA,NVDA,Oracle,ORCL,Supplier,NVDA → ORCL,NVIDIA supplies GPUs for Oracle Cloud Infrastructure
NVIDIA,NVDA,Palantir,PLTR,Partner,NVDA ↔ PLTR,Partnership for AI-powered defense and enterprise solutions
NVIDIA,NVDA,ServiceNow,NOW,Partner,NVDA ↔ NOW,Partnership for AI-powered enterprise automation
NVIDIA,NVDA,ARM Holdings,ARM,Licensing,ARM → NVDA,NVIDIA licenses ARM architecture for some chips
NVIDIA,NVDA,Micron,MU,Customer,MU → NVDA,Micron supplies HBM memory for NVIDIA GPUs
Apple,AAPL,Taiwan Semiconductor,TSM,Customer,TSM → AAPL,TSMC manufactures Apple M-series and A-series chips
Apple,AAPL,Qualcomm,QCOM,Supplier,QCOM → AAPL,Qualcomm supplies 5G modems for iPhones
Apple,AAPL,Broadcom,AVGO,Supplier,AVGO → AAPL,Broadcom supplies wireless chips for Apple devices
Apple,AAPL,Intel,INTC,Former Supplier,INTC → AAPL (ended),Apple transitioned from Intel to own M-series chips
Apple,AAPL,ARM Holdings,ARM,Licensing,ARM → AAPL,Apple licenses ARM architecture for M-series chips
Apple,AAPL,Micron,MU,Supplier,MU → AAPL,Micron supplies memory chips for Apple devices
Microsoft,MSFT,Salesforce,CRM,Competitor/Partner,MSFT ↔ CRM,Compete in CRM; integrate products
Microsoft,MSFT,Adobe,ADBE,Partner,MSFT ↔ ADBE,Integration between Microsoft 365 and Adobe products
Microsoft,MSFT,Oracle,ORCL,Competitor/Partner,MSFT ↔ ORCL,Compete in cloud; some interoperability
Microsoft,MSFT,ServiceNow,NOW,Partner,MSFT ↔ NOW,Integration with Microsoft Teams and Azure
Microsoft,MSFT,Palantir,PLTR,Customer,MSFT → PLTR,Palantir runs on Azure cloud
Google,GOOGL,Taiwan Semiconductor,TSM,Customer,TSM → GOOGL,TSMC manufactures Google TPU AI chips
Google,GOOGL,Salesforce,CRM,Competitor/Partner,GOOGL ↔ CRM,Cloud integration partnerships
Google,GOOGL,Shopify,SHOP,Partner,GOOGL ↔ SHOP,Google Cloud partnership; Shopping integration
Google,GOOGL,Uber,UBER,Customer/Investor,GOOGL → UBER,Uber uses Google Maps; Google invested in Uber
Amazon,AMZN,Intel,INTC,Supplier,INTC → AMZN,Intel supplies Xeon processors for AWS
Amazon,AMZN,AMD,AMD,Supplier,AMD → AMZN,AMD supplies EPYC processors for AWS
Amazon,AMZN,Netflix,NFLX,Supplier,AMZN → NFLX,Netflix runs on AWS cloud infrastructure
Amazon,AMZN,Uber,UBER,Supplier,AMZN → UBER,Uber runs on AWS cloud
Amazon,AMZN,Palantir,PLTR,Supplier,AMZN → PLTR,Palantir runs on AWS
Tesla,TSLA,Taiwan Semiconductor,TSM,Customer,TSM → TSLA,TSMC manufactures Tesla FSD chips
AMD,AMD,Taiwan Semiconductor,TSM,Customer,TSM → AMD,TSMC manufactures AMD CPU and GPU chips
AMD,AMD,Microsoft,MSFT,Supplier,AMD → MSFT,AMD supplies CPUs for Xbox consoles
AMD,AMD,Meta,META,Supplier,AMD → META,AMD supplies chips for Meta data centers
Qualcomm,QCOM,ARM Holdings,ARM,Licensing,ARM → QCOM,Qualcomm licenses ARM for Snapdragon chips
Qualcomm,QCOM,Meta,META,Partner,QCOM ↔ META,Partnership for VR/AR chip development
ASML,ASML,Taiwan Semiconductor,TSM,Supplier,ASML → TSM,ASML supplies EUV lithography machines to TSMC
ASML,ASML,Intel,INTC,Supplier,ASML → INTC,ASML supplies lithography machines to Intel
Applied Materials,AMAT,Taiwan Semiconductor,TSM,Supplier,AMAT → TSM,AMAT supplies semiconductor equipment to TSMC
Applied Materials,AMAT,Intel,INTC,Supplier,AMAT → INTC,AMAT supplies semiconductor equipment to Intel
Shopify,SHOP,Meta,META,Partner,SHOP ↔ META,Facebook/Instagram shopping integration
Salesforce,CRM,Amazon,AMZN,Partner,CRM ↔ AMZN,Salesforce runs on AWS; compete in some areas
ServiceNow,NOW,IBM,IBM,Partner,NOW ↔ IBM,Integration for enterprise IT management
Broadcom,AVGO,Google,GOOGL,Supplier,AVGO → GOOGL,Broadcom supplies chips for Google data centers
Broadcom,AVGO,Meta,META,Supplier,AVGO → META,Broadcom supplies networking chips to Meta
Intel,INTC,IBM,IBM,Partner,INTC ↔ IBM,Enterprise server partnerships
Intel,INTC,Oracle,ORCL,Partner,INTC ↔ ORCL,Intel processors in Oracle systems
Micron,MU,AMD,AMD,Supplier,MU → AMD,Micron supplies memory for AMD systems
Micron,MU,Intel,INTC,Supplier/Partner,MU ↔ INTC,Memory partnerships and supply
